ID_1;VARNAME_1;Pr_2015_1;Pr_2015_2;Pr_2015_3;Pr_2015_4;Pr_2015_5;Pr_2015_6;Pr_2015_7;Pr_2015_8;Pr_2015_9;Pr_2015_10;Pr_2015_11;Pr_2015_12;Pr_2020_1;Pr_2020_2;Pr_2020_3;Pr_2020_4;Pr_2020_5;Pr_2020_6;Pr_2020_7;Pr_2020_8;Pr_2020_9;Pr_2020_10;Pr_2020_11;Pr_2020_12;Pr_2025_1;Pr_2025_2;Pr_2025_3;Pr_2025_4;Pr_2025_5;Pr_2025_6;Pr_2025_7;Pr_2025_8;Pr_2025_9;Pr_2025_10;Pr_2025_11;Pr_2025_12;Pr_2030_1;Pr_2030_2;Pr_2030_3;Pr_2030_4;Pr_2030_5;Pr_2030_6;Pr_2030_7;Pr_2030_8;Pr_2030_9;Pr_2030_10;Pr_2030_11;Pr_2030_12;Pr_2035_1;Pr_2035_2;Pr_2035_3;Pr_2035_4;Pr_2035_5;Pr_2035_6;Pr_2035_7;Pr_2035_8;Pr_2035_9;Pr_2035_10;Pr_2035_11;Pr_2035_12;Pr_2040_1;Pr_2040_2;Pr_2040_3;Pr_2040_4;Pr_2040_5;Pr_2040_6;Pr_2040_7;Pr_2040_8;Pr_2040_9;Pr_2040_10;Pr_2040_11;Pr_2040_12;Pr_2045_1;Pr_2045_2;Pr_2045_3;Pr_2045_4;Pr_2045_5;Pr_2045_6;Pr_2045_7;Pr_2045_8;Pr_2045_9;Pr_2045_10;Pr_2045_11;Pr_2045_12;Pr_2050_1;Pr_2050_2;Pr_2050_3;Pr_2050_4;Pr_2050_5;Pr_2050_6;Pr_2050_7;Pr_2050_8;Pr_2050_9;Pr_2050_10;Pr_2050_11;Pr_2050_12
3;Dong Thap;24.39608;24.75415;25.87585;26.81804;26.99019;27.14887;27.06986;27.12456;26.96961;26.65219;25.99759;24.73824;24.25102;24.66852;26.18751;26.95654;27.33533;27.26296;27.14428;26.94449;26.99423;26.71677;26.19427;24.78294;24.49142;24.68851;26.10289;27.03459;27.58702;27.43024;27.32726;27.34507;27.40561;26.97001;26.62864;25.50775;24.59203;25.17337;26.35713;27.10494;27.30823;27.42141;27.2522;27.04725;27.00536;26.72459;26.73495;24.9223;25.23019;25.33106;26.46433;27.23984;27.44851;27.75899;27.54674;27.36856;27.25713;27.06209;26.41741;25.23486;24.97255;25.40305;26.34338;27.15586;27.71459;27.70618;27.61756;27.50223;27.47627;27.38206;26.73897;25.16966;24.8455;25.28268;26.31887;27.27987;27.7361;27.86873;27.53051;27.48651;27.51774;27.23351;26.59796;25.59101;25.12395;25.6558;26.84648;27.48727;27.86599;27.84289;27.72284;27.87091;27.66152;27.35834;26.85829;25.74431
7;An Giang;24.38917;24.73398;25.81893;26.81012;27.06954;27.22848;27.17139;27.19261;27.05277;26.68593;25.90453;24.61045;24.12729;24.57568;26.1567;26.92226;27.40237;27.34888;27.26054;27.02272;27.08661;26.76024;26.13404;24.69288;24.36225;24.56987;26.0029;26.98337;27.6264;27.53312;27.39239;27.40463;27.4603;26.99556;26.5669;25.39743;24.55393;25.10438;26.30902;27.11903;27.34262;27.4741;27.37859;27.14844;27.09323;26.75872;26.67814;24.77253;25.15645;25.24491;26.36281;27.20866;27.51052;27.8192;27.66025;27.47726;27.34836;27.06538;26.38732;25.10098;24.88082;25.31499;26.29454;27.12901;27.74388;27.76445;27.71592;27.5891;27.53745;27.37656;26.70836;25.003;24.76913;25.1921;26.24971;27.24551;27.79867;27.94171;27.60735;27.56999;27.5782;27.20787;26.57706;25.46162;24.99046;25.54459;26.77062;27.4876;27.92782;27.90629;27.80972;27.97493;27.75754;27.35154;26.82;25.63354
13;Bac Lieu;24.90821;24.95249;25.91397;26.99193;27.5027;27.68343;27.44934;27.52525;27.40707;27.03424;26.42822;25.26176;24.72962;24.98789;26.11436;27.12383;27.70223;27.79021;27.57494;27.32555;27.38002;27.01882;26.48164;25.32426;25.07189;25.05279;26.04492;27.08213;27.96723;28.00389;27.82994;27.71802;27.72426;27.28602;26.87629;25.91721;25.03881;25.27447;26.28709;27.18903;27.77012;27.82028;27.71652;27.4572;27.3114;26.98654;26.81416;25.58359;25.5438;25.52448;26.40883;27.35966;27.87869;28.17498;27.9819;27.69918;27.78625;27.3566;26.78278;25.79027;25.34264;25.52805;26.36171;27.18621;27.97148;28.20125;28.11761;27.91457;27.83745;27.6462;27.10694;25.73461;25.35628;25.43135;26.25255;27.262;28.10103;28.22918;28.00832;27.85401;27.8517;27.53687;26.98008;26.15037;25.48555;25.79016;26.81453;27.60481;28.24794;28.298;28.18594;28.18505;28.11547;27.66728;27.40624;26.32399
17;Ben Tre;24.79576;25.14011;25.88799;26.66;26.92289;27.04752;26.89231;26.96435;26.82886;26.52955;26.21855;25.27127;24.9099;25.06587;26.1458;26.84002;27.16545;27.15091;27.00827;26.79499;26.81339;26.61746;26.40262;25.3165;25.07979;25.24884;26.14159;26.87749;27.47444;27.29539;27.19935;27.15227;27.2161;26.86581;26.72579;25.937;25.07753;25.43018;26.28418;26.84659;27.18011;27.25321;27.12238;26.90744;26.80632;26.62302;26.69075;25.63415;25.60833;25.77488;26.49046;27.11935;27.30423;27.62271;27.3837;27.17308;27.12076;26.98845;26.55653;25.73734;25.43308;25.71913;26.37076;26.9655;27.52379;27.61012;27.45891;27.32417;27.33486;27.32897;26.87228;25.73955;25.34892;25.62117;26.33419;27.12157;27.65477;27.76061;27.40293;27.33433;27.36187;27.13307;26.71401;26.04063;25.59276;25.94166;26.83626;27.24171;27.64241;27.69354;27.58821;27.67482;27.49546;27.23294;27.1724;26.24517
18;Ca Mau;25.20558;25.23733;26.15808;27.22948;27.92012;28.10098;27.8668;27.8498;27.83387;27.43766;26.76381;25.66605;25.11084;25.33738;26.36119;27.40138;28.10815;28.20967;27.9647;27.74064;27.78552;27.36543;26.7831;25.74119;25.43348;25.35608;26.247;27.29697;28.33095;28.444;28.20709;28.07367;28.03901;27.60672;27.22213;26.26884;25.32778;25.55948;26.48823;27.41952;28.0955;28.18393;28.17848;27.88123;27.70496;27.34138;27.07074;25.95799;25.814;25.81771;26.63677;27.61812;28.21643;28.4679;28.40304;28.09839;28.23863;27.70588;27.13382;26.1315;25.67861;25.82232;26.5659;27.39018;28.26476;28.53483;28.52303;28.28646;28.21462;28.00142;27.4656;26.14938;25.60331;25.72394;26.46338;27.45695;28.42629;28.5152;28.35979;28.1975;28.17158;27.83207;27.30312;26.51613;25.83955;26.10583;27.026;27.82938;28.5699;28.63676;28.53516;28.54963;28.52199;28.05696;27.81637;26.69665
20;Can Tho;24.45138;24.66523;25.67086;26.67672;26.95967;27.14693;26.99604;27.12306;26.96916;26.62152;25.98601;24.77244;24.26656;24.59332;25.97072;26.79097;27.27844;27.2698;27.1304;26.89618;26.96017;26.6709;26.13516;24.81328;24.56558;24.66214;25.85973;26.84473;27.52061;27.43933;27.30279;27.32061;27.40272;26.90239;26.5699;25.47737;24.57761;25.01446;26.12879;26.96757;27.29415;27.39817;27.21521;27.03378;26.96906;26.7165;26.595;24.94157;25.11474;25.20775;26.22717;27.05145;27.40608;27.75648;27.50717;27.33453;27.25539;26.97047;26.38216;25.23869;24.93081;25.24262;26.17784;26.99192;27.6377;27.68425;27.63057;27.48545;27.44602;27.31255;26.71426;25.23209;24.89126;25.16935;26.0638;27.09319;27.69456;27.85896;27.52097;27.46926;27.49439;27.20784;26.55757;25.64807;25.13626;25.5088;26.63111;27.37613;27.8747;27.8442;27.72387;27.82878;27.68064;27.26593;26.86154;25.78905
31;Hau Giang;24.41906;24.53687;25.55723;26.63262;26.99511;27.19052;26.98378;27.14057;26.96375;26.60062;25.97428;24.77121;24.19555;24.51028;25.83426;26.73835;27.27377;27.30695;27.14474;26.90534;26.95136;26.63708;26.09182;24.80811;24.54112;24.58038;25.75179;26.7855;27.52529;27.46882;27.34491;27.33538;27.40586;26.89508;26.52357;25.43497;24.56193;24.8657;26.01118;26.91394;27.33628;27.41408;27.21975;27.03619;26.96168;26.68921;26.51275;24.95816;25.07013;25.08325;26.1206;26.99369;27.43775;27.76939;27.49843;27.29878;27.26444;26.94364;26.34991;25.2521;24.87812;25.09666;26.08587;26.93067;27.61887;27.72896;27.66111;27.50889;27.44295;27.26346;26.67172;25.21247;24.92672;25.03822;25.94283;27.02749;27.69668;27.84351;27.56017;27.48959;27.50404;27.212;26.52866;25.62739;25.06218;25.40056;26.53018;27.33073;27.88168;27.8703;27.74899;27.82553;27.69502;27.25588;26.87422;25.78464
33;Kien Giang;24.77647;24.9821;26.03719;27.16884;27.76168;27.88191;27.70394;27.66744;27.59059;27.13119;26.29305;25.06419;24.60326;24.99549;26.34349;27.31284;27.99784;28.03372;27.84005;27.5718;27.58638;27.12192;26.4298;25.17921;24.88838;24.97531;26.17093;27.26594;28.18745;28.22499;27.98712;27.89509;27.88352;27.37393;26.86038;25.75804;24.90134;25.33053;26.44301;27.39762;27.94877;28.02278;27.99835;27.68427;27.55183;27.10993;26.82024;25.30236;25.43558;25.53624;26.55019;27.55903;28.10226;28.33352;28.21104;27.93435;27.94259;27.46124;26.73385;25.562;25.22926;25.57815;26.51302;27.39041;28.19761;28.34613;28.32725;28.10346;28.01174;27.75357;27.09427;25.53379;25.14062;25.4895;26.39597;27.47876;28.37327;28.45104;28.16646;28.04869;27.99888;27.56291;26.92477;25.914;25.32344;25.79356;26.94613;27.81148;28.44921;28.46933;28.36917;28.41236;28.30125;27.76949;27.35547;26.15205
39;Long An;24.44009;24.8163;25.87735;26.68806;26.85093;26.98292;26.92383;26.9681;26.80937;26.49641;25.9596;24.92412;24.41727;24.7503;26.15761;26.88345;27.1746;27.10209;26.98007;26.82049;26.81613;26.62392;26.19995;24.92673;24.59291;24.78472;26.13872;26.95056;27.48587;27.26925;27.18127;27.18478;27.2668;26.85317;26.61907;25.65484;24.6692;25.23149;26.31849;26.94828;27.16138;27.26845;27.0902;26.89554;26.85049;26.60178;26.68243;25.10437;25.28794;25.41848;26.47152;27.16758;27.28956;27.59828;27.35515;27.19671;27.0852;26.95775;26.34422;25.34398;25.07545;25.50689;26.31139;27.05423;27.55631;27.57183;27.44303;27.34001;27.34234;27.29867;26.74003;25.37821;24.89158;25.32055;26.29443;27.18101;27.65182;27.81348;27.40406;27.33813;27.38269;27.13549;26.58039;25.74693;25.30541;25.77934;26.85964;27.36256;27.69383;27.69095;27.59363;27.6898;27.4992;27.29974;26.91106;25.8525
51;Soc Trang;24.84951;24.93037;25.87969;26.93291;27.3984;27.56419;27.32397;27.42801;27.27294;26.9261;26.40165;25.25849;24.74797;24.94833;26.08101;27.06424;27.59514;27.67391;27.46853;27.22529;27.27242;26.93745;26.46534;25.32934;25.05306;25.0361;26.02037;27.03767;27.86757;27.8514;27.71767;27.62354;27.64291;27.22733;26.87878;25.92846;25.01834;25.24148;26.26938;27.13653;27.66817;27.71568;27.57115;27.33391;27.20951;26.90687;26.81863;25.61018;25.56579;25.53676;26.39053;27.30815;27.77403;28.08669;27.84854;27.59055;27.63512;27.30976;26.73313;25.75971;25.34064;25.51776;26.33482;27.1365;27.89619;28.10163;27.97444;27.80415;27.75076;27.59781;27.04143;25.75424;25.33299;25.40398;26.22764;27.25203;27.99772;28.12472;27.90246;27.76828;27.77297;27.49104;26.95684;26.12695;25.5112;25.76942;26.78894;27.53159;28.13381;28.20408;28.0761;28.08003;27.9832;27.58216;27.35168;26.32022
58;Tien Giang;24.51506;24.93784;25.79723;26.54562;26.72416;26.86515;26.78452;26.84999;26.69291;26.36792;25.94257;24.97311;24.56676;24.82984;26.10956;26.74726;27.0376;26.98416;26.86633;26.68589;26.67423;26.49046;26.18436;24.99306;24.73705;24.97175;26.1376;26.83606;27.36761;27.13984;27.04288;27.04317;27.13486;26.69791;26.56342;25.66692;24.74572;25.30227;26.26181;26.78704;27.03046;27.14042;26.97712;26.79458;26.71746;26.51534;26.58586;25.21243;25.31026;25.52407;26.45804;27.0303;27.14295;27.47122;27.22816;27.06343;26.96283;26.80546;26.3037;25.406;25.15159;25.55009;26.30109;26.91631;27.42411;27.44204;27.32154;27.21369;27.19828;27.17602;26.69351;25.43881;25.02012;25.4469;26.2823;27.07722;27.5407;27.69033;27.28493;27.23038;27.25503;27.02092;26.4949;25.75697;25.35541;25.83035;26.81601;27.2076;27.53675;27.55941;27.47053;27.57408;27.37928;27.1314;26.89386;25.91669
59;Tra Vinh;24.96185;25.14572;26.01021;26.96145;27.37738;27.49229;27.26449;27.34225;27.22285;26.92332;26.52617;25.47087;25.03237;25.16257;26.18819;27.10309;27.5563;27.59483;27.39314;27.17086;27.22616;26.95004;26.60375;25.53292;25.25509;25.27447;26.11419;27.05653;27.81606;27.75112;27.62779;27.54164;27.5675;27.23663;26.9755;26.13943;25.21995;25.42502;26.3466;27.11464;27.5953;27.62906;27.51409;27.26279;27.15261;26.90327;26.87355;25.8752;25.7557;25.80708;26.51075;27.36312;27.72524;28.01693;27.79548;27.53875;27.5575;27.36516;26.85821;25.95996;25.56237;25.73692;26.42498;27.17091;27.8584;28.03291;27.87217;27.71472;27.72322;27.65912;27.12257;25.98663;25.47424;25.6103;26.34307;27.28732;27.97592;28.06252;27.79594;27.69878;27.71107;27.46153;27.03855;26.30702;25.72776;25.95203;26.86786;27.49331;28.03138;28.10591;27.98208;28.02515;27.89524;27.57477;27.48311;26.49533
61;Vinh Long;24.56891;24.90683;25.69233;26.5349;26.78473;26.9549;26.80944;26.92953;26.75328;26.41458;26.00293;24.96776;24.56502;24.79715;26.03375;26.7082;27.08549;27.0745;26.93847;26.72179;26.73375;26.47084;26.15169;25.00004;24.79439;24.98241;26.04032;26.80919;27.38708;27.22069;27.12209;27.11841;27.19735;26.73454;26.57237;25.66271;24.80656;25.23461;26.18291;26.79946;27.11165;27.21935;27.01657;26.83692;26.76701;26.54912;26.55788;25.23059;25.29058;25.46288;26.36368;26.98846;27.21786;27.54297;27.27654;27.10082;27.03053;26.80599;26.31099;25.44137;25.15543;25.48975;26.26148;26.88906;27.46909;27.51338;27.40995;27.2849;27.23962;27.17871;26.69237;25.42344;25.10603;25.4008;26.20342;27.04604;27.54899;27.69473;27.3493;27.29002;27.30901;27.07892;26.53694;25.75661;25.33868;25.7459;26.72747;27.22343;27.6214;27.64378;27.53303;27.6297;27.4545;27.10507;26.89572;25.97667
